GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
090715B	21:03:14	251.337	44.837	1.0	266	57	2	3.8	0.2	3.000 (WHT)
090618	08:28:29	294.008	78.352	0.46	113.2	1050	10	38.9	0.8	0.540 (Lick: absorption)|0.54 (SAO RAS: emission)
#	090530	03:18:18	179.400	26.590	1.9	48	11	1	2.5	0.3	~1.266 (VLT)
090530	03:18:18	179.400	26.590	1.9	48	11	1	2.5	0.3	1.266 (VLT)
#	090529	14:12:35	212.446	24.450	2.0	>100	6.8	1.7	0.4	0.1	2.625 (VLT: absorption)
090519	21:08:56	142.317	0.190	2.0	64	12	1	0.6	0.2	3.900 (ESO/MPI: photometric)|3.85 (VLT: absorption)
090516A	08:27:50	138.246	-11.848	1.5	210	90	6	1.6	0.2	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	00:23:00	333.552	-26.598	1.7	0.3	3.4	0.4	9.7	1.1	0.903 (VLT: emission)
090426	12:48:47	189.082	32.978	1.7	1.2	1.8	0.3	2.4	0.3	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	14:12:09	189.531	16.829	1.0	48	210	0.0	71.0	2.0	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	07:55:19	148.891	18.165	1.1	10.3	5.9	0.4	1.7	0.2	8.000 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	11:07:40	269.320	33.407	1.4	56	46	2	1.9	0.3	1.608 (Lick: absorption)
090407	10:28:25	68.979	-12.684	2.2	310	11	2	0.6	0.1	1.4485 (TOUGH: emission)
090313	09:06:27	198.400	8.086	2.2	79	14	2	0.8	0.3	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	23:03:14	220.917	-27.848	2.0	8.8	1.9	0.3	0.5	0.1	4.700 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	18:40:39	32.067	33.436	1.0	9.1	7.6	0.4	2.5	0.2	1.7493 (TOUGH: emission)
